City,State,Avg_Temp,Humidity,Rainfall,Wind_Speed,Pressure,Visibility,AQI
Kolkata,West Bengal,43.5,92.3,47.3,15.1,997.4,45.0,130
Bhopal,Madhya Pradesh,24.4,52.9,30.4,9.8,990.6,77.1,73
Mumbai,Maharashtra,36.8,70.6,11.7,9.6,1021.5,93.7,114
Kolkata,West Bengal,29.5,61.6,57.1,6.8,1000.0,60.9,83
Chennai,Tamil Nadu,29.7,93.6,55.9,23.3,993.5,42.0,75
Kolkata,West Bengal,28.8,40.5,78.7,22.4,1013.4,92.9,20
Lucknow,Uttar Pradesh,17.8,50.9,63.1,3.2,1022.0,30.8,100
Chennai,Tamil Nadu,44.7,87.5,45.8,6.5,1016.9,97.5,73
Lucknow,Uttar Pradesh,25.7,71.1,36.0,13.3,1000.2,42.2,107
Delhi,Delhi,43.0,62.2,13.5,3.7,990.7,51.4,170
Bhopal,Madhya Pradesh,22.6,57.1,49.9,20.7,1007.0,92.6,20
Jaipur,Rajasthan,36.5,43.9,18.3,24.1,1011.9,96.1,43
Delhi,Delhi,40.2,38.1,10.0,11.9,1022.6,61.9,120
Chennai,Tamil Nadu,36.0,85.9,72.9,9.4,1012.0,39.2,104
Patna,Bihar,23.4,75.4,20.6,6.7,1009.9,91.2,102
Jaipur,Rajasthan,40.5,45.5,74.5,20.5,1016.8,9.3,85
Kolkata,West Bengal,40.1,48.6,26.6,14.4,1016.9,91.1,50
Bengaluru,Karnataka,36.7,34.0,37.7,6.0,1013.8,21.1,134
Bhopal,Madhya Pradesh,39.3,48.5,45.2,21.7,1004.7,26.0,94
Kolkata,West Bengal,26.3,41.8,37.4,4.8,1010.5,9.2,159
Hyderabad,Telangana,31.4,63.9,15.1,15.4,1001.2,21.4,181
Delhi,Delhi,41.8,80.4,33.8,10.5,994.5,23.1,165
Hyderabad,Telangana,28.1,37.9,43.4,23.3,1024.4,25.4,89
Mumbai,Maharashtra,41.0,86.3,11.9,15.1,1017.3,43.4,184
Jaipur,Rajasthan,15.8,82.4,38.7,2.0,1000.2,16.9,174
Lucknow,Uttar Pradesh,32.6,31.2,11.6,21.8,1002.1,26.5,122
Jaipur,Rajasthan,41.8,85.2,33.2,23.9,1002.5,57.2,102
Bhopal,Madhya Pradesh,30.7,56.0,20.4,16.7,996.8,87.6,64
Bengaluru,Karnataka,15.9,73.0,40.1,12.9,995.3,84.8,68
Jaipur,Rajasthan,22.5,73.2,7.9,24.6,1002.6,72.9,97
Kolkata,West Bengal,21.6,92.9,47.0,15.9,996.7,87.6,62
Kolkata,West Bengal,19.5,47.3,40.1,12.0,1006.6,76.7,44
